Merchant Transaction Free Text,Merchant Name
PETROCHINA INTERNATIONAL,
ABU DHABI SAILING YACHT CLUB,
SHARJAH CUSTOMS,
MOROUJ COMMODITIES FZC,
BAB AL SHAMS DESERT    DUBAI         AE,BAB AL SHAMS DESERT
PAUL BAKERY AND RESTUR DUBAI         AE,PAUL BAKERY & RESTAURA
CRUMBLE RESTAURANT & C DUBAI         AE,ROTI MUM CAFE
SAUDI GERMAN HOSPITAL( DUBAI         AE,BAIT AL BATTERJEE MEDI
DHABI RETIREMENT PENSIONS AND BENEFITS FUND,
YATEEM OPTICIAN - MOE  DUBAI         AE,YATEEM OPTICIAN - MOE
MONTREAL ALD DM        DUBAI         AE,MONTREAL ALD DM -250512
LA SERRE BOULANGERIE R DUBAI         AE,LA SERRE BOULANGERIE R
CIRCLE RESTAURANT      DUBAI         AE,CIRCLE RESTAURANT THE
IG LIMITED,
MCDONALDS-EMIRATES HIL DUBAI         ARE,MCDONALDS-EMIRATES HIL
CITY STAR HOTEL        DUBAI         AE,CITY STAR HOTEL
ABU DHABI COMMERCIAL PROPERTIES,
MUTAWA MARINE WORKS LLC,
MARSH MANAGEMENT SERVICES DUBAI LIMITED,
SUN AND SAND SPORTS LL ABU DHABI     AE,SUN AND SAND SPORTS LL
"ATLANTIS THE PALM,DUBA DUBAI         AE","ATLANTIS THE PALM,DUBA"
ASTER PHARMACY 5 (BR O DUBAI         AE,ASTER PHARMACY 5 (BR O
ABBCCHZ,
PATCHI LLC             DUBAI         AE,PATCHI LLC      -229003
TOKYO ELECTRIC POWER COMPANY,
WESTZONE FRESH SUPERMA DUBAI         AE,WESTZONE FRESH S-232618
PHARMATRADE LLC,
ABU DHAB,
KEMPINSKI HOTEL AJMAN  AJMAN         AE,KEMPENSKI HOTEL
GOVT OF DUBAI-LAND DEP DUBAI         AE,GOVT OF DUBAI-LAND DEP
METAMINDZ LEARNING CEN DUBAI         AE,METAMINDZ LEARNING CEN
FAST RENT A CAR-DXB AC DUBAI         ARE,FAST RENT A CAR-DXB AC
SPX MIDDLE EAST FZE,
MEDCARE MEDICAL CENTER DUBAI         AE,MEDCARE HOSPITAL LLC-3
CURRENCYFAIR LIMITED,
TASNIM CEMENT PRODUCTS LLC,
GUNAYDIN RESTAURANT LL DUBAI         AE,GUNAYDIN RESTAURANT LL
CARIBOU COFFEE         DUBAI         AE,CARIBOU COFFEE  -141007
EMIRATES    5IS/23FEB2 DUBAI         AE,EMIRATES
NANDOS UAE LLC         DUBAI         AE,NANDOS UAE LLC-DEIRA C
JOANNA GARMENT FZCO    DUBAI         AE,JOANNA GARMENT FZCO
DENEL VEHICLE SYSTEMS PTY,
SPICE TOURISM LLC      DUBAI         AE,SPICE TOURISM LLC
ORIENT INSURANCE PJSC  DUBAI         AE,ORIENT INSURANCE-760410
AL BOOM DIVING         DUBAI         AE,AL BOOM MARINE SERVICE
EMARAT-HASSA(4855) C/S DUBAI         AE,EMARAT-HASSA(4855)
VFS GCC LLC            DUBAI         AE,VFS GCC LLC
THE BAGEL BAR COFFEE-D DUBAI         AE,THE BAGEL BAR COFFEE-DFC
FACEBOOK FZ LLC,
EMIRATES    1762151180 DUBAI         AE,EMIRATES
RIMAL ROTANA SUITES    DUBAI         AE,RIMAL ROTANA
PAUL CAFE-KAREEM TRADI DUBAI         AE,PAUL CAFE-KAREEM TRDG
BAQER MOHEBI SUPERMARK DUBAI         AE,BAQER MOHEBI SUPERMARK
STARBUCKS - 4091       DUBAI         AE,STARBUCKS - 4091-221035
SPLASH GULF LLC        DUBAI         AE,SPLASH GULF LLC -123578
EMIRATES    1762307996 DUBAI         AE,EMIRATES
EMIRATES    MS6/08JUL2 DUBAI         AE,EMIRATES
EK /DNATA -            DUBAI         AE,EK/DNATA-AIRLINE CNTR-
AHMED SEDDIQI SONS LLC,
LA CASA DEL HABANO BR  DUBAI         AE,LA CASA DEL HABANO BR.
BBME AN CABLES INDUSTRY SAOG CORPORATE OFFICE,
AL MAJLIS DUBAI        DUBAI         AE,AL MAJLIS DUBAI
CRAVINGS WITH COUTURE  DUBAI         AE,CRAVINGS WITH COUTURE
SR TECHNICS SWITZERLAND AG,
YAMAL AL SHAM SWEETS   DUBAI         AE,YAMAL AL SHAM SWEETS
RODEO DRIVE            DUBAI         AE,RODEO DRIVE - GUCCI
AL JABER OPTICAL CENTR DUBAI         AE,AL JABER OPTICAL CTR L
HOMESMITHS             DUBAI         AE,HOMESMITHS      -437803
DIKSHA TRADING LLC     DUBAI         AE,DIKSHA TRADING LLC
GRAN CAFFE LONDRA LLC  DUBAI         AE,GRAN CAFFE LONDRA LLC
ARAMCO TRADING DHAHRAN PAYER SAUDI ARAMCO PRODUCTS TRADING T TOWER BUILDING DHAHRAN SA,
SANA CENTER            DUBAI         AE,SANA CENTER     -033595
ALISTITHMAR CAPITAL,
NAYOMI TRADING         DUBAI         AE,NAYOMI TRADING
HARMAN HOUSE LLC       DUBAI         AE,HARMAN HOUSE LLC-11
BOUTIQUE 1             DUBAI         AE,BOUTIQUE 1
TIKE                   DUBAI         AE,TIKE
CRAVIA INC LLC         DUBAI         AE,CRAVIA INC LLC  -227203
GE INDUSTRIAL HEDGING SERVICES,
HALLIBURTON WORLDWIDE LIMITED,
PAPA MURPHYS PIZZA RES DUBAI         AE,PAPA MURPHYS PIZ-461038
JC GENERAL SERVICES CVBA,
E CITY GENERAL TRADING DUBAI         AE,E CITY GENERAL TRADING
SAUDI TELECOM COMPANY,
NAAMA TEXTILES TRDG545 DUBAI         ARE,NAAMA TEXTILES TRDG545
SUN AND SAND SPORTS ST DUBAI         AE,SUN AND SAND SPORTS LL
TAQADO LIMITED         DUBAI         ARE,TAQADO LIMITED
WSP MIDDLE EAST LIMITED,
GIFT VILLAGE DISCOUNTS DUBAI         AE,GIFT VILLAGE DISCOUNTS
ROBERT BOSCH MIDDLE EAST FZE,
TT ENEOS GLOBE CORPORATION,
MEZZA LEBANEES KITCHEN DUBAI         AE,MEZZA LEBANESE KITCHEN
ICONIC INTERNATIONAL L DUBAI         AE,ICONIC INTERNATI-821912
YATEEM OPTICIAN (BR)   DUBAI         AE,YATEEM OPTICIAN (BR)
THE BEACH REEL CINEMA  DUBAI         AE,THE BEACH REEL CINEMA
RIO TINTO MARKETING PTE,
SIX CONSTRUCTION RUCT L,
IWATANI CORPORATION,
PREMIER COM LLC        DUBAI         AE,PREMIER COM LLC
SMART TECHNOLOGY SERVICES DWC LLC,
NAMASTE TRAVEL & TOURI DUBAI         AE,NAMASTE TRAVEL & TOURISM
MADAREK LLC            DUBAI         AE,MADAREK LLC     -241146
DDF - FINEST SURPRISES DUBAI         AE,DUBAI DUTY FREE
NATIXISNATIXIS CAPITAL,
MECHANICAL AND CIVIL ENGINEERING CONTRACTORS COMPANY LIMITED,
MONDIAL Q ZONE GENERAL DUBAI         AE,MONDIAL Q ZONE GEN.TRD
TWMA MIDDLE EAST LIMITED,
LOBO TAILORS           DUBAI         AE,LOBO TAILORS
APMOLLERMAERSK AS,
LONDON FISH & CHIPS (B DUBAI         AE,LONDON FISH & CHIPS (B
BP MIDDLE EAST,
ALYA PHARMACY          ABU DHABI     AE,ALYA PHARMACY
1847 EXE GROM FOR MAN. DUBAI         AE,1847 EXE GROM FOR MAN.4
MOHAMMED FARHAN TRADIN DUBAI         AE,MOHAMMED FARHAN -145238
SHOE TREE LLC          DUBAI         AE,SHOE TREE LLC   -130571
SOMEWHERE HOTEL FZ LLC DUBAI         AE,SOMEWHERE HOTEL -470138
AVIATION SERVICES MANAGEMENT FZE,
OSH KOSH B GOSH-MECHAN DUBAI         AE,OSH KOSH B GOSH-MECH
NEXTGEN CLEARING LIMITED,
DAMAC MAISON COUR JARD DUBAI         AE,DAMAC MAISON COUR JARD
MAQSED DEVELOPMENT COMPANY PJSC,
ALLIED ENT LLC LEVEL S DUBAI         AE,ALLIED ENT LLC L-222616
PATCHI LLC             DUBAI         AE,PATCHI LLC      -249004
UNITED NATIONS NEW YORK NEWYORKNY,
ALBATHAA BUILDING MATE DUBAI         AE,ALBATHAA BUILDIN-721602
LUZAN DENTAL CENTER    DUBAI         AE,LUZAN DENTAL CENTER
DEUTSCHE LUFTHANSA AG,
DAMAS JEWELLERY LLC    DUBAI         AE,DAMAS JEWELLERY LLC
EMIRATES COOP SOCIETY  DUBAI         AE,EMIRATES COOP SOCIETY
CRAVINGS SOCIAL        DUBAI         ARE,CRAVINGS SOCIAL
BASF SE CARLBOSCHSTRASSE,
HUMAIMA TRADING CO LLC DUBAI         AE,HUMAIMA TRADING CO LLC
GLENCORE SINGAPORE PTE,
SPLASH GULF LLC BR     DUBAI         AE,SPLASH GULF LLC -172025
SAI KRIPA GENTS TAILOR DUBAI         AE,SAI KRIPA GENTS TAILORING
KUWAIT FOOD COMPANY,
OUD WOOD               DUBAI         AE,OUD WOOD
AMERICAN ACADEMY COSM  DUBAI         AE,AMERICAN ACADEMY-485004
SAJ 2 GO RESTAURANT AN DUBAI         AE,SAJ 2 GO RESTAUR-535903
SHOWCSE ANTIQS.ART&FRA DUBAI         AE,SHOWCSE ANTIQS.ART&FRA
CVC CAPITAL PARTNERS VI A LLP,
VCARE POLYCLINIC LLC   DUBAI         AE,VCARE POLYCLINIC LLC
J S K FOODSTUFF TRADIN DUBAI         AE,J S K FOODSTUFF -729201
KALOTI JEWELLERY INTERNATIONAL DMC,
DARAJ AL YASMIN REST.C DUBAI         ARE,DARAJ AL YASMIN REST.C
HAIRDREAMS SALON LADIE DUBAI         AE,HAIRDREAMS SALON LADIE
FOODHALLS LLC          DUBAI         AE,FOODHALLS LLC
APPAREL LLC            DUBAI         AE,APPAREL LLC     -390302
THAMRAH JEWELLERS      DUBAI         AE,THAMRAH JEWELLER-121764
EMAAR DUBAI SOUTH DWC LLC,
HAINAN YISHENG PETROCHEMICAL COMPANY LIMITED,
CHEVRON USA INC,
OCEAN MARINE SERVICES,
P H DIAGNOSTICS LLC    DUBAI         AE,P H DIAGNOSTICS LLC
NOORA POLY CLINIC      DUBAI         AE,NOORA POLY CLINIC
DUBAI FINA,
HOME CENTRE GULF LLC   DUBAI         AE,HOME CENTRE GULF-040720
EVEREST METALS FZE,
AMERICAN CTR FOR PSYCH DUBAI         AE,AMERICAN CTR FOR PSYCH
JUDICIARY DEPARTMENT,
SOWAH SQUARE PROPERTIES LLC,
ABSHAR IRANIAN RESTAUR DUBAI         AE,ABSHAR IRANIAN REST.
SHOE TREE LLC-PABLOSKY DUBAI         AE,SHOE TREE LLC-PA-710519
AL NOON INTL. TRD.     DUBAI         ARE,AL NOON INTL. TRD.
BERKELEY HOLDINGS LUXEMBOURG SA,
INFLIGHT PRODUCTIONS FZ LLC,
BB ENERGY GULF DMCC,
THOMAS COOK GMBH,
KELLER GRUNDBAU GMBH,
GRAND CITY MALL        DUBAI         AE,GRAND CITY MALL
BEST FOOD COMPANY LLC,
OMNICOM FINANCE PLC,
JBS SA,
MAZAREE AL SHAM TRADIN DUBAI         AE,MAZAREE AL SHAM TDRG
AL HALLAB RESTAURANT & DUBAI         AE,AL HALLAB REST& SWEETS
SPEEDEX INTERNATIONAL  DUBAI         ARE,SPEEDEX INTERNATIONAL
VITAL SOLUTIONS PTE,
OAKS HOTELS AND RESORT DUBAI         AE,OAKS HOTELS AND -240201
SPRINGDALES SCHOOL LLC DUBAI         AE,SPRINGDALES SCHO-723602
AL SAEEDI AUTOMOTIVE T DUBAI         AE,AL SAEEDI AUTOMOTIVE
ADCP PROCASH PAYMENT,
ACCENTURE MIDDLE EAST BV,
SUBWAY                 DUBAI         AE,SUBWAY
TRADEMAX GENERAL TRADING COMPANY LLC,
OREGANO RESTAURANT     DUBAI         AE,OREGANO RESTAURANT
AL GHURAIR RAYHAN BY R DUBAI         AE,AL GHURAIR RAYHA-170250
CHINA MOBILE INTERNATIONAL LIMITED,
FAIRMONT HOTEL THE PAL DUBAI         AE,FAIRMONT HOTEL THE PAL
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-052041
YELLOW CHILLI          DUBAI         AE,YELLOW CHILLI
DUBAI MULTI COMMODITIES CENTRE DMCC,
SHAHI MUGHAL RESTAURAN DUBAI         AE,SHAHI MUGHAL RESTAURANT
KHALEEJ SUGAR,
CHETAN JEWELLERS FZCO  DUBAI         AE,CHETAN JEWELLERS-088112
M I OVERSEAS LIMITED,
GALERIES LAFAYETTE     DUBAI         AE,GALERIES LAFAYETTE
EMIRATES INTERNATIONAL DUBAI         AE,EMIRATES INTERNATIONAL
ABU DHABI OILFIELD SERVICES ESTABLISHMENT,
5 DIAMONDS             DUBAI         ARE,5 DIAMONDS
EMIRATES    7621970818 DUBAI         AE,EMIRATES
PAAVOS PIZZA 6579      DUBAI         AE,PAAVO'S PIZZA 6579
BB ARABIAN SHIELD COOPERATIVE INSURANC,
BRAND FOLIO LLC        DUBAI         AE,BRAND FOLIO LLC -722005
TANDOORI JUNCTION REST DUBAI         AE,TANDOORI JUNCTIO-241158
HOLIDAY INN AL BARSHA  DUBAI         AE,HOLIDAY INN HTL
"PREMIER INN,DUBAI      DUBAI         AE",PREMIER INN HOTELS
MAMAS CATERING SERVICE DUBAI         AE,MAMAS CATERING SERVICE
SHARAF D G             DUBAI         AE,SHARAF D G      -781032
WURTH GULF FZE         DUBAI         AE,WURTH GULF FZE
LULU HYPERMARKET LLC   DUBAI         AE,LULU HYPERMARKET-23
PANORAMA HOTEL         DUBAI         AE,PANORAMA HOTEL
TAMWEELVIEW EUROPEAN HOLDINGS SA,
ALMARAI COMPANY,
SMART COMMERCE GENERAL TRADING FZE,
DUBAI OPTICAL          DUBAI         AE,DUBAI OPTICAL CO (LLC)
PFIZER GULF FZ LLC,
DR ABURAS DENTAL CENTE DUBAI         AE,DR ABURAS DENTAL-084903
TML THE MEDIA LOUNGE R DUBAI         AE,TML THE MEDIA LOUNGE
SECURITIES AND COMMODITIES,
PATCHI LLC             DUBAI         AE,PATCHI LLC      -139012
MEDIA ZONE AUTHORITY,
NEXT GENERATION TRAINI DUBAI         AE,NEXT GENERATION TRAINI
HILAL BIL BADI PARTNERS CONTNG COMPANY,
EMRILL SERVICES LLC    DUBAI         AE,EMRILL SERVICES LLC
SEHA BEWSTRN MEDICAL REG AC,
LA FORNERIA CAFE       SHARJAH       AE,LA FORNERIA CAFE
SAMBAEAD,
DAFUYING INTERNATIONAL TRADE LIMITED,
TOTAL MARKETING MIDDLE EAST FZE,
DUBAI PRIVATE,
COMFONE AG,
VODAFONE ROAMING SERVICES SARL,
EMIRATES    1762153939 DUBAI         AE,EMIRATES
ZAIN CAPITAL LLC,
PET VILLAGE PETS TRADI DUBAI         AE,PET VILLAGE PETS TRADI
BARAA REFINED OIL PRODUCTS,
ELECTROMONTAJ SA,
SUS PYROL REJCT FINACLE FORMAT FIL,
OMV REFINING AND MARKETING GMBH,
ROBOTIKA TRADING LLC   DUBAI         AE,ROBOTIKA TRADING LLC
SULTANS LOUNGE-5       DUBAI         AE,LALEZAR - 2
FOAH COMPANY,
INTERTEK FINANCE PLC,
NOOR CAPITAL,
JORDAN MOBILE TELEPHONE,
HAVANA CAFE            ABU DHABI     AE,HAVANA CAFE
BEACH ROTANA HOTEL & T ABU DHABI     AE,BEACH ROTANA HOTEL-F/O
APPAREL LLC            DUBAI         AE,APPAREL LLC     -392201
BHIMA JEWELLERS LLC    DUBAI         AE,BHIMA JEWELLERS -881112
OMV ABU DHABI OFFSHORE GMBH,
AE038070000000000000807 CENTRAL BANK TUNIS,
EMIRATES    1762197082 DUBAI         AE,EMIRATES
CITY PREMIERE HOTEL AP DUBAI         AE,CITY PREMEIRE HOTEL AP
CAR WORLD AUTOMOBIELS  DUBAI         AE,CAR WORLD AUTOMOBIELS
RADISSON ROYAL HOTEL   DUBAI         AE,RADISSON ROYAL HOTEL
GLORIA HOTEL FZ LLC-NO DUBAI         AE,GLORIA HOTELS 1
TAHANY TECHNICAL SUPPL DUBAI         AE,TAHANY TECHNICAL SUPPLIER
MICROSOFT GULF FZ LLC,
LAOLA RESTAURANT LLC   DUBAI         AE,LAOLA RESTAURANT LLC
LAND MARK PLAZA HOTEL  DUBAI         AE,LAND MARK PLAZA HOTEL
THE UNI OF MODERN SCIE DUBAI         AE,THE UNI OF MODERN SCIENCE
MCDONALDS-AL BARSHA 1  DUBAI         ARE,MCDONALDS-AL BARSHA 1
UNITED TECHNICAL SERVICES,
JUMA ALMAJID JOINT ACCOUNT,
MING BOWL RESTAURANT   DUBAI         AE,MING BOWL RESTAURANT
B A M RESTAURANT LLC   DUBAI         AE,B A M RESTAURANT-221045
LOCKTON INSURANCE BROKERS LLC,
MAZEN OPTICS LLC       DUBAI         ARE,MAZEN OPTICS LLC
ADIDAS EMERGING MARKET DUBAI         AE,ADIDAS EMERGING -171452
VAN SANDWICHES CO LLC  DUBAI         AE,VAN SANDWICHES CO LLC
IDLGB22 HSBC BANK PLC FORMERLY MIDLAND BANLONDON EC2P 2BX UNITED KINGDO,
ADCNAEADXXX,
MADAREK LLC            DUBAI         AE,MADAREK LLC     -761113
MADINAT JUMEIRAH - MJ  DUBAI         AE,PAI THAI 1
MCDONALDS-AL HASSA DXB DUBAI         AE,MCDONALDS-AL HASSA DXB
MALABAR GOLD LLC       DUBAI         AE,MALABAR GOLD LLC-885020
MAAZIM RESTAURANT AND  DUBAI         AE,MAAZIM RESTAURANT AND
KONINKLIJKE PHILIPS ELECTRONICS NV,
VCARE PHARMACY LLC     DUBAI         ARE,VCARE PHARMACY LLC
AL BOOM MARINE EVENTS  DUBAI         AE,AL BOOM MARINE
PAMP GOLD LLC,
PIZZA HUT BRANCH KUWAI DUBAI         AE,PIZZA HUT BRANCH-131987
MORE CAFE              DUBAI         AE,MORE CAFE
AMBER GALLERY LLC      DUBAI         AE,AMBER GALLERY LLC
M M A FIGHT SHOP       DUBAI         AE,M M A FIGHT SHOP
TRAFIGURA PTE,
ZAD ELECTRICAL FITTING CONTRACTING LLC,
ONE & ONLY ROYAL MIRAG DUBAI         AE,ONE & ONLY ROYAL MIRAG
CAKE WALK BAKERY LLC   DUBAI         AE,CAKE WALK BAKERY LLC
GEMS MODERN ACADEMY    DUBAI         AE,GEMS MODERN ACADEMY
TEMASEK LLC-DOME CAF   DUBAI         AE,TEMASEK LLC-DOME-821024
SEPHORA EMIRATES       DUBAI         AE,SEPHORA EMIRATES-767044
DUBAI SUPPLIES LY AUTHORITY,
EAT GREEK RESTAURANT L DUBAI         AE,EAT GREEK RESTAU-718138
DMK DEUTSCHES MILCHKONTOR GMBH,
GREEN HOUSE INTERNATIO DUBAI         AE,GREEN HOUSE INTL TRADI
ROYAL OMAN POLICE PROVISION,
NOODLE HOUSE-JET       DUBAI         AE,NOODLE HOUSE-JET
AL TAYER MOTORS LLC    DUBAI         AE,AL TAYER MOTORS -478026
HYATT HOTELS           DUBAI         AE,HYATT HOTELS-PARK HYAT
GYXIS CORPORATION,
MARUBENI PETROLEUM COMPANY LIMITED,
AL SAYER RETAIL ESTABL DUBAI         AE,AL SAYER RETAIL -059802
CHINA AVIATION OIL SINGAPORE,
SEARA INTERNATIONAL LIMITED,
AIN DISTRIBUTION COMPANY,
SUMO SUSHI & BENTO     DUBAI         AE,SUMO SUSHI & BENTO 1
SUSHI ART RESTAURANT A DUBAI         AE,SUSHI ART RESTAURANT A
CARLTON DOWNTOWN HOTEL DUBAI         AE,CARLTON DOWNTOWN-475419
WIPRO LIMITED,
HABSHAN TRADING COMPANY,
NSTYLE                 DUBAI         AE,NSTYLE
MONTREAL ALD MOE       DUBAI         AE,MONTREAL ALD MOE-710509
EXCELSIOR CREEK HOTEL  DUBAI         AE,HOLYDAY INN BUR DUBAI
PASCAL TEPPER          DUBAI         AE,PASCAL TEPPER CATERING
CESARE PACIOTTI        DUBAI         AE,CESARE PACIOTTI -260524
HERTZ R.A.C-DXB-ALFUTT DUBAI         ARE,HERTZ R.A.C-DXB-ALFUTT
ASTER PHARMACY 201(BR  DUBAI         AE,ASTER PHARMACY 201 (BR
SEHA BE,
ZAKUM DEVELOPMENT COMPANY,
BRF FOODS GMBH,
BLUE ATLAS ZA WILLOW HOUSE,
ABB TRANSMISSION AND DISTRIBUTION LIMITED,
FOUR SEASONS RESORT DU DUBAI         AE,SEAFU 1-FOUR SEASONS R
ABERCROMBIE & FITCH (B DUBAI         AE,ABERCROMEBIE & FITCH
SAROUJA RESTAURANT AND DUBAI         AE,SAROUJA RESTAURANT & C
MEHRAB OPTICALS        DUBAI         AE,MEHRAB OPTICALS -143309
D412-LE PAIN QUOTIDIEN DUBAI         ARE,D412-LE PAIN QUOTIDIEN
SIDRA RESTAURANT & CAF DUBAI         AE,SIDRA RESTAURANT & CAF
AREEJ                  DUBAI         AE,AREEJ           -764001
NEW AL NAHDA PHARMACY  DUBAI         AE,NEW AL NAHDA PHARMACY
ADX DIVIDENDS,
GROUP SECURICOR SECURITY SERVICES UAE LLC,
VISA INC,
TRINITY IT SUPPLIES JL DUBAI         AE,TRINITY IT SUPPLIES JLT
MADINAT JUM - F&B      DUBAI         AE,AL FAYROOZ-2
NANDOS UAE LLC         DUBAI         AE,NANDOS UAE LLC  -241217
EMDAD SERVICES LLC,
KEMPINKSLI HOTEL-PALM  DUBAI         AE,KEMPINSKI PALM JUM
AL BARAHA-PREVENTIVE   DUBAI         AE,AL BARAHA-PREVENTIVE
ALLIED ENTERPRISES     DUBAI         AE,ALLIED ENTERPRIS-461942
SUPER SPEED COMPUTERS  DUBAI         AE,SUPER SPEED COMP-235139
ALLIED ENTERPRISES     DUBAI         AE,ALLIED ENTERPRIS-138039
OSHKOSH BQOSH          DUBAI         AE,OSHKOSH BQOSH
THE ADDRESS DUBAI MARI DUBAI         ARE,THE ADDRESS DUBAI MARI
MILAS RESTAURANT       SHARJAH       AE,MILAS RESTAURANT
CHINAOIL SINGAPORE INT,
LUFTHANSA TECHNIK AG,
JAD,
THRIFTY CAR RENTAL     DUBAI         AE,THRIFTY CAR RENTALS
UOMO BOSS LLC BRANCH   DUBAI         AE,UOMO BOSS
AMADEUS IT GROUP SA,
AE03045AED1403800051058 BO UNION NATIONAL BANK PO BOX 38,
AL HARAMAIN PERFUMES L DUBAI         AE,AL HARAMAIN PERFUMES 1
RSH MIDDLE - QUICKSILV DUBAI         AE,RSH MIDDLE - QUICKSILVER
DRYDOCKS WORLD DUBAI,
SHOE TREE LLC          DUBAI         AE,SHOE TREE LLC   -558001
MEETING POINT TOURISM,
THE ECLIPSE HOTEL APAR ABU DHABI     AE,THE ECLIPSE  HOTEL
HTSACCNTS PYBLE DUB AED ACC,
FOOD MARK LLC          DUBAI         AE,FOOD MARK LLC   -051086
MIDLINE KIMIA GEN TRDG DUBAI         AE,MIDLINE KIMIA GEN TRDG
SCHLUMBERGER RESERVOIR PRODUCTS LIMITED,
AIRWAYS PJSC,
JAZZ LOUNGE SPA - BR   DUBAI         AE,JAZZ LOUNGE SPA - BR
MARSA AL SEEF LLC,
HABTOOR LEIGHTON LLC,
CF AND J AUTO SPARE PA DUBAI         AE,CF AND J AUTO SP-477211
BEIERSDORF MIDDLE EAST FZCO,
MENDOZA                DUBAI         AE,MENDOZA
APPAREL LLC            DUBAI         AE,APPAREL LLC     -263629
MOUNIA LLC GAP         DUBAI         AE,MOUNIA LLC GAP  -172028
VALENTINE MARITIME GULF LLC,
KFC KALBA              DUBAI         AE,KFC KALBA       -165801
APPLE ME FZCO,
FOOTBALL CENTER LLC    DUBAI         AE,FOOTBALL CENTER LLC
FARSI-JLT              DUBAI         AE,FARSI-JLT
GROVE SERVICES INC,
CONCENTRIX TECHNOLOGY FZ LLC,
THALES NEDERLAND BV,
MEH GCC FZCO,
MOTHERCARE - 3801      DUBAI         AE,MOTHERCARE - 380-063552
RTA - AL NAHDA         DUBAI         AE,RTA-TOM AL NAHDA
CONTACT CEN            DUBAI         AE,DNATA-CONTACT CENTER
RTA                    DUBAI         AE,ROAD&TRANSPORT AUTHOR4
ABERCROMBIE & FITCH (B DUBAI         AE,ABERCROMBIE & FITCH
NTDE-SMOKERS CENTER B1 DUBAI         AE,NTDE-SMOKERS CEN-424102
TACK & TRACK LLC       DUBAI         AE,TACK & TRACK LLC-785014
MOHAN AND SONS TRDG LL DUBAI         AE,MOHAN AND SONS TRDG LLC
MARIA BONITA TACO SHOP DUBAI         AE,MARIA BONITA TACO SHOP
BIG CHEFS RIVERLAND    DUBAI         AE,BIG CHEFS RIVERLAND
EMCREDIT LIMITED       DUBAI         AE,EMCREDIT LIMITED
HYDER CONSULTING ME LIMITED,
SI FASHION GALERIE L L DUBAI         AE,SI FASHION GALERIE L LC
FANTASY LAND GIFTS     DUBAI         AE,FANTASY LAND GIFTS
HOUSE OF CURRY RESTAUR DUBAI         AE,HOUSE OF CURRY RESTAUR
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-052068
APPAREL R AND B MUSH M DUBAI         AE,APPAREL R AND B -397101
AYYAM EL EZZ RESTAURAN DUBAI         ARE,AYYAM EL EZZ RESTAURAN
SOGEFRPPHCM,
GULF GREETINGS GEN TR  DUBAI         AE,GULF GREETINGS G-710913
GEMS WELLINGTON INTL(G DUBAI         AE,GEMS WELLINGTON INTL(GT)
EA PARTNERS II BV,
SHAKESPEARE&CO.REST.&C DUBAI         AE,SHAKESPEARE & CO 2
AMERICAN HOSPITAL DUBA DUBAI         AE,AMERICAN HOSPITAL DUBA
ACCESORIZE             DUBAI         AE,ACCESORIZE
BIN HAM ELECTRO MECHANICAL ENTERPRISES COMPANY LLC,
SIEMENS AG,
DUBAI ELECTRICITY & WA DUBAI         AE,DEWA
MEDCARE HOSPITAL LLC   DUBAI         AE,MEDCARE HOSPITAL LLC
DESERT PALM LLC        DUBAI         AE,DESSERT PALM LLC
CUCINA MIA RESTAURANT  DUBAI         AE,CUCINA MIA RESTAURANT
AUTOMATIC RESTAURANT A DUBAI         AE,AUTOMATIC RESTAURANT A
SPEEDFIT VEHICLE PARTS DUBAI         AE,SPEEDFIT VEHICLE PARTS
EXCEED INFORMATION TECHNOLOGY,
ORACLE SYSTEMS LIMITED,
DON GIOVANNIS RESTAURA DUBAI         AE,DON GIOVANNIS RESTAURA
VIRTUAL HUMAN RESOURCES LIMITED,
STALLION BESPOKE TEXTI DUBAI         AE,STALLION BESPOKE-221303
JAMBA GENERAL TRADING  DUBAI         AE,JAMBA GENERAL TRADING
PULLMAN JUM LAKES TOWE DUBAI         ARE,PULLMAN JUM LAKES TOWE
AE830520000000208081010 NOOR BANK ESCROW DEPARTMENT NIB BRANCH DUBAI AEUNITED ARAB EMIRAT,
DEBENHAMS-4301         DUBAI         AE,DEBENHAMS-4301  -712025
SUN AND SANDS SPORT LL DUBAI         AE,SUN AND SAND SPORTS LL
FIVE GUYS (BR OF RISE. DUBAI         AE,FIVE GUYS (BR OF RISE.LLC
AL MANA FASHION-DXB MA DUBAI         AE,AL MANA FASHION-DXB MALL
GULF GREETINGS GENERAL DUBAI         AE,GULF GREETINGS G-831501
ADM INTERNATIONAL SARL,
LIFE PARA PHARMACY     DUBAI         AE,LIFE PARA PHARMACY-1
MOLDEN GENERAL TRADING DUBAI         AE,MOLDEN GENERAL TRADING
BURGER KING-GLOBAL VIL DUBAI         AE,BURGER KING-GLOBAL VIL
MARBAIYA RESTAURANT &  DUBAI         AE,MARBAIYA RESTAURANT &
MCDONALDS-AIRPORT TER. DUBAI         AE,MCDONALDS-AIRPORT TER.3
DELMA TEXTILES LLC     DUBAI         AE,DELMA TEXTILES LLC
AXIOM IBN BATTUTA      DUBAI         AE,AXIOM TELECOM IBN BATT
NATIONAL TAXI          DUBAI         AE,NATIONAL TAXI
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-711913
